"Method","Top-1 mean ± SD","Top-5 mean ± SD","Macro-F1 mean ± SD","95% CI","Seeds"
"Baseline","83.72 ± 0.30","97.64 ± 0.11","83.11 ± 0.31","[83.35, 84.09]","1, 25, 42, 50, 100"
"Full model","84.36 ± 0.26","97.65 ± 0.10","83.38 ± 0.51","[84.04, 84.67]","1, 25, 42, 50, 100"
