class_id,mean_delta_f1
0,0.004622147782390407
1,0.01424537657634357
2,0.005281693565219547
3,-0.028242664036943487
4,0.00015696308166259775
5,-0.0013443882285225418
6,0.011552514510352774
7,0.0006560773125224185
8,0.014889567402553983
9,0.0030338834054997044
10,-0.001457780328574554
11,-0.023414971767095616
12,-0.0031034399728732563
13,-0.012266737894637458
14,-0.004126872769261847
15,0.010108486320877085
16,0.0023227246141299452
17,0.0014075329323668395
18,-0.0038715779261175864
19,0.010393854692094107
20,-0.00584097289713934
21,-0.004493387700845686
22,-0.008519795984053035
23,0.0048326896439307545
24,-0.005298436010896812
25,-0.032660670991821884
26,0.11125722084290642
27,-0.003085102025839959
28,0.007356517129006002
29,0.01088422409177121
30,-0.0011396280731548636
31,0.0010732287459032542
32,0.0019916477581837454
33,0.0019527899360961332
34,0.002630764433680932
35,-0.0007848722176895029
36,-0.010383145500745549
37,0.008193543262176518
38,0.009098958971214533
39,0.0046865212082603195
40,-0.006161939914690717
41,-0.0007108981501829703
42,0.01755483286769057
43,0.0671568409520324
44,-0.012959774041402606
45,0.03821359951797929
46,-0.02646363851755378
47,0.01714369243156033
48,0.002119119779808276
49,0.0026356784977474845
50,0.014651284291717359
51,-0.0027149203875212356
52,-0.010988800298047186
53,-0.0012037591314966623
54,-0.002877684516756762
55,-0.021456443273827053
56,0.0005132270739419464
57,0.017054631242817565
58,0.01526479298403267
59,-0.010396504683200813
60,0.009080978472664158
61,-0.005822066123603764
62,-0.003882607599178556
63,-0.01663847881505238
64,-0.00608652095069877
65,-0.005759150003330915
66,0.043517602952718296
67,-0.013695208936266945
68,0.010361116354536714
69,0.026881742050105607
70,-0.010269826608356469
71,-0.004431605000869587
72,0.04321334002788983
73,-0.01744597546572433
74,-0.004890178626299746
75,0.01595281391213803
76,0.02800768958960209
77,0.05437059003867706
78,0.0051872525342563595
79,-0.0012230800614982718
80,0.008552170296268091
81,0.0010155436147794906
82,0.016806843397468206
83,-0.005640851944650161
84,0.02321428781360364
85,0.012783230821599711
86,0.01188020270597039
87,0.0055906563385959675
88,-0.0084515990531548
89,-0.0032712303210480796
90,0.023955673020026703
91,0.0008585284447353736
92,0.007015852592155025
93,0.005685116205427443
94,0.0049969726699583775
95,0.0020271091961436617
96,0.00020017325574115397
97,0.03179057835453505
98,0.03270209027242506
99,-0.01052434511742073
100,0.008475584712512797
101,-0.002091697866035336
102,0.005401138650114689
103,-9.124775275777264e-05
104,-0.02360983459667172
105,-0.0067169098006826244
106,-0.0034093220166286466
107,0.005162485645956316
108,-0.0011216543056339567
109,-0.01212121212121211
110,0.0047932372337548875
111,0.0031231975324508944
112,0.014903282533529483
113,-5.189300168950695e-06
114,0.0018962373917113418
115,0.06504859558268247
116,0.01650047948311999
117,0.07710440456623883
118,0.07901701367210241
119,-0.002391594216914883
120,0.003029373136102764
121,-0.018865739848671105
122,-0.005735423818999519
123,-0.004311215109071442
124,0.005880950567011878
125,-0.004864891086870738
126,-0.00033249007404065887
127,0.00497392125683851
128,0.015119047619047565
129,-0.005798379244131869
130,-0.0033678242640502233
131,-0.0020225208951510252
132,0.0050926874714693595
133,-0.007011618942094877
134,0.008582648142826832
135,-0.010962413014104121
136,0.0011128322738801267
137,0.017608346883958802
138,-0.00017128849452729966
139,0.020919182120392964
140,-0.006844928458014388
141,-0.006044095720327625
142,0.012354593300962691
143,0.02416265698107083
144,0.024436830285905486
145,0.001164106202719517
146,0.005752864655302403
147,-0.0008484654309439232
148,-0.0011459030422869664
149,0.021993337200571773
150,-0.0022059897938020876
151,-0.012884396315078095
152,0.0011017301856775185
153,0.08401442972649506
154,-0.04693570246707766
155,0.003200020356913691
156,-0.021861830760239554
157,-0.02171454300723068
158,-0.009720423166222214
159,-0.011574766065633457
160,-0.02074438970990695
161,-0.011640673738327157
162,-0.01976438246063015
163,-0.014925059947313612
164,-0.011257431437069388
165,0.00397466651079168
166,0.008366447454615834
167,0.026812946226046085
168,0.005765020016077482
169,-0.2857142857142857
170,0.003523551454690321
171,-0.02943252637119127
172,-0.002881641137437807
173,-0.0008006762877628582
174,-0.013302748499299976
175,0.008429492401236227
176,0.0055303261834799946
177,0.01728015348376377
178,0.0060377595058975775
179,0.021292352465356414
180,0.009435125752478091
181,-0.003904397007845217
182,0.06390792250747304
183,0.0011625842877431402
184,0.03281080094873194
185,0.04198330736276305
186,-0.05178053830227747
187,-0.02106042308348508
188,0.012646168255025358
189,0.009681018182152435
190,0.01099186930467313
191,0.003602576041452954
192,0.03345345081194136
193,0.009590145627449309
194,0.0419952210274791
195,0.018480856414313473
196,-2.852401631290302e-05
197,0.04381770814727324
198,-0.026546185806459798
199,0.10157179438855228
200,-0.0050385881080069915
201,0.005390794622004735
202,-0.0023325826083324007
203,-0.008195821300471518
204,0.018847299464672517
205,0.014799047358218732
206,-0.006920409487861589
207,0.006148156579555963
208,-0.0018666245515560175
209,-0.027967471108024132
210,-0.01718601027035722
211,0.01730176386461133
212,-0.0020328131252501658
213,-0.024720024603083045
214,-0.007013135341308763
215,-0.04574893794405992
216,0.031700954807382886
217,0.005669599217986354
218,-0.009660733755292106
219,-0.0023263180588408263
220,0.007944671102565826
221,-0.015026010404161716
222,-0.018773139595899834
223,0.01427228190134402
224,0.011794053899317092
225,-0.02908525112172522
226,0.0
227,-0.007120417120417111
228,0.011753338659628776
229,-0.01151739975269388
230,0.02309095473182161
231,0.019693055482529153
232,-0.029128297491511447
233,0.012121212121212154
234,0.027009803921568643
235,0.02458211143695017
236,-0.012121212121212154
237,-0.022604588394062052
238,-0.006060606060606077
239,0.0009920852026116256
240,-0.005079365079365084
