seed,n_images,delta_top1,delta_top5,delta_macro_f1,delta_weighted_f1,mcnemar_b01,mcnemar_b10,mcnemar_p,wilcoxon_W,wilcoxon_p_greater,mean_delta_f1,positive_classes,negative_classes,zero_classes
1,20943,0.007162297665090911,-0.001098218975314036,0.002614357462509709,0.0062235463714994665,830,680,0.00012438778220968862,14809.0,0.15291903926742134,0.0026143574625096654,122,112,7
25,20943,0.0013369622308170293,0.00023874325550299336,-0.007631273196238686,0.0008874021441305224,767,739,0.4865998150404374,11073.5,0.9962717086023234,-0.007631273196238847,97,138,6
42,20943,0.008021773384901953,0.003533400181444879,0.013337870485441883,0.008453316338149608,756,588,5.093281067499476e-06,18966.5,1.5080936785863586e-09,0.01333787048544186,152,76,13
50,20943,0.006637062502984348,-0.00023874325550299336,0.003627330973794418,0.006678599736843593,844,705,0.00045068974182530447,15435.0,0.05177562966703627,0.0036273309737943947,131,103,7
100,20943,0.009406484266819448,-0.0013369622308169182,0.0035220413182736054,0.00946595721388166,915,718,1.1987651233763745e-06,13243.0,0.3794607414536936,0.003522041318273559,110,117,14
