class_id,class_label,support,baseline_precision,baseline_recall,baseline_f1,full_precision,full_recall,full_f1,delta_f1,baseline_main_confused_with,baseline_main_confusion_count,full_main_confused_with,full_main_confusion_count
0,000,131,0.9044117647058824,0.9389312977099237,0.9213483146067415,0.9166666666666666,0.9236641221374046,0.9201520912547528,-0.0011962233519886567,1,6,1,7
1,001,95,0.7524752475247525,0.8,0.7755102040816327,0.7572815533980582,0.8210526315789474,0.7878787878787878,0.012368583797155108,0,7,0,7
2,002,103,0.8141592920353983,0.8932038834951457,0.851851851851852,0.8518518518518519,0.8932038834951457,0.8720379146919431,0.020186062840091168,1,7,1,9
3,003,51,0.925,0.7254901960784313,0.8131868131868133,0.8367346938775511,0.803921568627451,0.8200000000000001,0.006813186813186767,0,2,0,2
4,004,33,0.64,0.48484848484848486,0.5517241379310344,0.85,0.5151515151515151,0.6415094339622641,0.08978529603122976,1,4,2,4
5,005,131,0.9343065693430657,0.9770992366412213,0.9552238805970148,0.9328358208955224,0.9541984732824428,0.9433962264150944,-0.011827654181920444,10,1,10,2
6,006,131,0.852112676056338,0.9236641221374046,0.8864468864468864,0.8897058823529411,0.9236641221374046,0.9063670411985019,0.01992015475161546,53,2,9,1
7,007,55,0.7959183673469388,0.7090909090909091,0.75,0.9111111111111111,0.7454545454545455,0.8200000000000001,0.07000000000000006,135,9,135,8
8,008,55,0.8148148148148148,0.8,0.8073394495412846,0.8113207547169812,0.7818181818181819,0.7962962962962964,-0.011043153244988169,93,5,93,7
9,009,143,0.9337748344370861,0.986013986013986,0.9591836734693878,0.94,0.986013986013986,0.962457337883959,0.00327366441457122,38,1,38,1
10,010,131,0.9770992366412213,0.9770992366412213,0.9770992366412213,0.9621212121212122,0.9694656488549618,0.9657794676806084,-0.01131976896061293,131,1,35,1
11,011,131,0.8032786885245902,0.7480916030534351,0.774703557312253,0.7333333333333333,0.7557251908396947,0.7443609022556391,-0.030342655056613932,13,22,13,19
12,012,95,0.8695652173913043,0.8421052631578947,0.8556149732620322,0.8602150537634409,0.8421052631578947,0.8510638297872339,-0.004551143474798236,13,7,13,8
13,013,131,0.7426470588235294,0.7709923664122137,0.7565543071161049,0.7322834645669292,0.7099236641221374,0.7209302325581396,-0.035624074557965346,11,20,11,28
14,014,69,0.9508196721311475,0.8405797101449275,0.8923076923076922,1.0,0.8840579710144928,0.9384615384615386,0.04615384615384632,15,4,15,4
15,015,131,0.6131386861313869,0.6412213740458015,0.6268656716417911,0.6641221374045801,0.6641221374045801,0.6641221374045801,0.03725646576278907,17,23,17,24
16,016,131,0.8120300751879699,0.8244274809160306,0.8181818181818181,0.8074074074074075,0.8320610687022901,0.8195488721804511,0.0013670539986330166,15,16,15,12
17,017,131,0.7969924812030075,0.8091603053435115,0.803030303030303,0.7851851851851852,0.8091603053435115,0.7969924812030075,-0.006037821827295509,15,17,15,15
18,018,155,0.967948717948718,0.9741935483870968,0.9710610932475885,0.9741935483870968,0.9741935483870968,0.9741935483870968,0.0031324551395083278,17,1,17,1
19,019,102,0.6732673267326733,0.6666666666666666,0.6699507389162561,0.6831683168316832,0.6764705882352942,0.6798029556650248,0.009852216748768683,45,14,45,15
20,020,131,0.8739495798319328,0.7938931297709924,0.832,0.8991596638655462,0.816793893129771,0.856,0.02400000000000002,22,7,21,8
21,021,74,0.8533333333333334,0.8648648648648649,0.8590604026845637,0.8148148148148148,0.8918918918918919,0.8516129032258065,-0.007447499458757223,19,5,19,4
22,022,131,0.8099173553719008,0.7480916030534351,0.7777777777777777,0.832,0.7938931297709924,0.8125,0.03472222222222232,20,7,21,5
23,023,131,0.9,0.8931297709923665,0.8965517241379312,0.9133858267716536,0.8854961832061069,0.8992248062015504,0.00267308206361927,149,2,22,3
24,024,70,0.9552238805970149,0.9142857142857143,0.9343065693430657,0.8695652173913043,0.8571428571428571,0.8633093525179856,-0.07099721682508009,25,1,25,2
25,025,46,0.7894736842105263,0.6521739130434783,0.7142857142857143,0.7419354838709677,0.5,0.5974025974025974,-0.11688311688311692,237,6,24,7
26,026,131,0.8796992481203008,0.8931297709923665,0.8863636363636365,0.8759124087591241,0.916030534351145,0.8955223880597015,0.00915875169606506,43,4,115,5
27,027,63,0.9166666666666666,0.873015873015873,0.894308943089431,0.8548387096774194,0.8412698412698413,0.848,-0.04630894308943101,28,5,28,5
28,028,131,0.7348484848484849,0.7404580152671756,0.7376425855513309,0.7480314960629921,0.7251908396946565,0.7364341085271318,-0.0012084770241991283,182,15,182,13
29,029,28,0.9259259259259259,0.8928571428571429,0.9090909090909091,0.9629629629629629,0.9285714285714286,0.9454545454545454,0.036363636363636376,31,1,6,1
