class_id,class_label,support,baseline_precision,baseline_recall,baseline_f1,full_precision,full_recall,full_f1,delta_f1,baseline_main_confused_with,baseline_main_confusion_count,full_main_confused_with,full_main_confusion_count
169,169,4,1.0,0.25,0.4,0.6666666666666666,0.5,0.5714285714285715,0.17142857142857149,32,1,32,1
128,128,19,1.0,0.42105263157894735,0.5925925925925926,0.9230769230769231,0.631578947368421,0.7499999999999999,0.15740740740740733,127,2,12,1
213,213,11,0.625,0.9090909090909091,0.7407407407407406,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.12882447665056374,109,1,109,1
224,224,16,0.6521739130434783,0.9375,0.7692307692307693,0.8,1.0,0.888888888888889,0.11965811965811968,203,1,0,0
184,184,14,0.7692307692307693,0.7142857142857143,0.7407407407407408,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.11640211640211628,59,2,51,1
230,230,16,0.625,0.9375,0.75,0.7894736842105263,0.9375,0.8571428571428572,0.1071428571428572,231,1,179,1
85,085,38,0.8275862068965517,0.631578947368421,0.716417910447761,0.8571428571428571,0.7894736842105263,0.8219178082191781,0.1054998977714171,15,7,15,5
154,154,131,0.4117647058823529,0.26717557251908397,0.32407407407407407,0.46788990825688076,0.3893129770992366,0.425,0.10092592592592592,153,39,153,31
4,004,33,0.64,0.48484848484848486,0.5517241379310344,0.85,0.5151515151515151,0.6415094339622641,0.08978529603122976,1,4,2,4
216,216,16,0.4642857142857143,0.8125,0.5909090909090908,0.5652173913043478,0.8125,0.6666666666666667,0.07575757575757591,68,2,67,2
181,181,15,0.7692307692307693,0.6666666666666666,0.7142857142857142,0.8461538461538461,0.7333333333333333,0.7857142857142856,0.0714285714285714,177,2,177,2
7,007,55,0.7959183673469388,0.7090909090909091,0.75,0.9111111111111111,0.7454545454545455,0.8200000000000001,0.07000000000000006,135,9,135,8
160,160,15,0.8571428571428571,0.8,0.8275862068965518,0.9285714285714286,0.8666666666666667,0.896551724137931,0.06896551724137923,185,2,185,1
179,179,113,0.6608695652173913,0.672566371681416,0.6666666666666667,0.7058823529411765,0.7433628318584071,0.7241379310344829,0.05747126436781613,189,11,189,5
200,200,131,0.6850393700787402,0.6641221374045801,0.6744186046511628,0.7185185185185186,0.7404580152671756,0.7293233082706767,0.05490470361951394,201,26,201,20
42,042,29,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.8333333333333334,0.8620689655172413,0.847457627118644,0.05435417884278193,22,2,22,1
115,115,35,0.8125,0.7428571428571429,0.7761194029850748,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.05245202558635387,114,3,114,2
215,215,16,0.6,0.9375,0.7317073170731707,0.64,1.0,0.7804878048780487,0.04878048780487798,171,1,0,0
214,214,16,0.7142857142857143,0.9375,0.8108108108108109,0.7894736842105263,0.9375,0.8571428571428572,0.04633204633204635,57,1,57,1
14,014,69,0.9508196721311475,0.8405797101449275,0.8923076923076922,1.0,0.8840579710144928,0.9384615384615386,0.04615384615384632,15,4,15,4
227,227,16,0.6818181818181818,0.9375,0.7894736842105263,0.75,0.9375,0.8333333333333334,0.04385964912280704,83,1,83,1
186,186,11,0.9166666666666666,1.0,0.9565217391304348,1.0,1.0,1.0,0.04347826086956519,0,0,0,0
190,190,80,0.8571428571428571,0.9,0.8780487804878048,0.9036144578313253,0.9375,0.920245398773006,0.04219661828520127,19,1,97,1
203,203,131,0.8214285714285714,0.8778625954198473,0.8487084870848709,0.8805970149253731,0.9007633587786259,0.890566037735849,0.04185755065097807,205,5,205,4
187,187,70,0.7777777777777778,0.7,0.7368421052631577,0.8360655737704918,0.7285714285714285,0.7786259541984734,0.041783848935315615,222,5,222,6
