metric,delta_mean,ci95_low,ci95_high,n_boot,seed
top1,0.0060274316000573,0.0027682280475575887,0.009310986964618188,2000,42
top5,0.0026949577424437753,0.0012414649286157653,0.004106383994652241,2000,42
macro_f1,0.010529790843291502,0.005961196503790236,0.015264112122065987,2000,42
weighted_f1,0.006340608692725734,0.0030447164857102665,0.009591373774984037,2000,42
