model,top1,top5,macro_f1,weighted_f1
baseline,0.8423817027168983,0.9754094446831877,0.8332008046013959,0.8412811005821523
full,0.8483980327555747,0.9780833691448216,0.8435844776200287,0.8476018030405664
delta_full_minus_baseline,0.00601633003867641,0.0026739244616339475,0.010383673018632855,0.006320702458414096
