threshold,coverage,accuracy
0.0,1.0,0.8483980327555747
0.005025125628140704,1.0,0.8483980327555747
0.010050251256281407,1.0,0.8483980327555747
0.01507537688442211,1.0,0.8483980327555747
0.020100502512562814,1.0,0.8483980327555747
0.02512562814070352,1.0,0.8483980327555747
0.03015075376884422,1.0,0.8483980327555747
0.035175879396984924,1.0,0.8483980327555747
0.04020100502512563,1.0,0.8483980327555747
0.04522613065326633,1.0,0.8483980327555747
0.05025125628140704,0.9999522513488994,0.8484385445516187
0.05527638190954774,0.9999522513488994,0.8484385445516187
0.06030150753768844,0.9999522513488994,0.8484385445516187
0.06532663316582915,0.9999522513488994,0.8484385445516187
0.07035175879396985,0.9999522513488994,0.8484385445516187
0.07537688442211056,0.9999522513488994,0.8484385445516187
0.08040201005025126,0.9999522513488994,0.8484385445516187
0.08542713567839195,0.9999522513488994,0.8484385445516187
0.09045226130653267,0.9999045026977987,0.8484790602167995
0.09547738693467336,0.9999045026977987,0.8484790602167995
0.10050251256281408,0.9999045026977987,0.8484790602167995
0.10552763819095477,0.9999045026977987,0.8484790602167995
0.11055276381909548,0.9999045026977987,0.8484790602167995
0.11557788944723618,0.9998567540466982,0.8485195797516715
0.12060301507537688,0.9998090053955976,0.8485601031567888
0.12562814070351758,0.9998090053955976,0.8485601031567888
0.1306532663316583,0.9998090053955976,0.8485601031567888
0.135678391959799,0.999761256744497,0.8486006304327061
0.1407035175879397,0.9995702621400946,0.8487627782554695
0.1457286432160804,0.9995702621400946,0.8487627782554695
0.15075376884422112,0.9995225134889939,0.8488033248937085
0.15577889447236182,0.9994270161867927,0.8488844297931298
0.16080402010050251,0.9994270161867927,0.8488844297931298
0.1658291457286432,0.9994270161867927,0.8488844297931298
0.1708542713567839,0.9993315188845915,0.8489655501935114
0.17587939698492464,0.9992837702334909,0.8489583333333334
0.18090452261306533,0.9992360215823903,0.8489989009413677
0.18592964824120603,0.9992360215823903,0.8489989009413677
0.19095477386934673,0.9991405242801891,0.8490800477897252
0.19597989949748745,0.9989972783268872,0.8492017971513239
0.20100502512562815,0.9989495296757867,0.8492423880311648
0.20603015075376885,0.9988062837224848,0.8493641839564012
0.21105527638190955,0.9987585350713842,0.8494047903619066
0.21608040201005024,0.9987585350713842,0.8494047903619066
0.22110552763819097,0.9987107864202837,0.8494454006502199
0.22613065326633167,0.9987107864202837,0.8494454006502199
0.23115577889447236,0.9986152891180824,0.8494788180166396
0.23618090452261306,0.9986152891180824,0.8494788180166396
0.24120603015075376,0.9984720431647806,0.849600688632777
0.24623115577889448,0.99842429451368,0.8496413199426112
0.25125628140703515,0.9983287972114788,0.8497225942223072
0.2562814070351759,0.9981378026070763,0.8498851894374282
0.2613065326633166,0.9980900539559757,0.8499258479644071
0.2663316582914573,0.9979468080026739,0.85
0.271356783919598,0.9978990593515733,0.8500406718024786
0.2763819095477387,0.9978513107004727,0.8500813474973682
0.2814070351758794,0.9978513107004727,0.8500813474973682
0.2864321608040201,0.9977080647471709,0.8501076812634601
0.2914572864321608,0.997564818793869,0.8502297530155083
0.2964824120603015,0.9974693214916679,0.8503111536620392
0.30150753768844224,0.9974215728405672,0.8503518598305329
0.3065326633165829,0.9972783268872655,0.8504261227616585
0.31155778894472363,0.9971350809339636,0.8505482928697984
0.3165829145728643,0.9970395836317624,0.8506297591111537
0.32160804020100503,0.9968008403762594,0.8507855911094079
0.32663316582914576,0.9965143484696557,0.8508864398658361
0.3316582914572864,0.996371102516354,0.8509608472708103
0.33668341708542715,0.9963233538652533,0.850953704591201
0.3417085427135678,0.9961323592608509,0.851116863196242
0.34673366834170855,0.9958936160053479,0.851272953924342
0.35175879396984927,0.9956548727498448,0.8514770765394207
0.35678391959798994,0.9954161294943418,0.8516333285364801
0.36180904522613067,0.9949863916344364,0.851905173241194
0.36683417085427134,0.9946521510767321,0.8521914454418895
0.37185929648241206,0.9945566537745308,0.8522252628546738
0.3768844221105528,0.9942224132168266,0.8523676880222841
0.38190954773869346,0.9940314186124242,0.8524834278028629
0.3869346733668342,0.9935539321014182,0.8527489427143407
0.3919597989949749,0.9933151888459151,0.8529058308897756
0.3969849246231156,0.9929809482882108,0.8530967493748798
0.4020100502512563,0.9926944563816072,0.8533429533429533
0.40703517587939697,0.9924557131261041,0.8534520086600914
0.4120603015075377,0.9920737239172993,0.853732492660153
0.4170854271356784,0.9916917347084945,0.8539168953729116
0.4221105527638191,0.9912619968485891,0.8541907514450867
0.4271356783919598,0.9909755049419854,0.8542931483087598
0.4321608040201005,0.9904980184309793,0.8544639413806402
0.4371859296482412,0.9900205319199733,0.8548278190411884
0.44221105527638194,0.9896385427111684,0.8550130271157
0.4472361809045226,0.989208804851263,0.8552879277887725
0.45226130653266333,0.9886835696891563,0.8555008210180624
0.457286432160804,0.9882060831781502,0.8557209122535756
0.4623115577889447,0.9876808480160435,0.8559342518733382
0.46733668341708545,0.9871556128539368,0.8562929283157589
0.4723618090452261,0.9866781263429308,0.8565621370499419
0.47738693467336685,0.9861051425297236,0.8567208987023048
0.4824120603015075,0.9857709019720193,0.8568660692661662
0.48743718592964824,0.984959174903309,0.8571359317432616
0.49246231155778897,0.9841951964856993,0.8574131573840481
0.49748743718592964,0.9834312180680895,0.8578364731015731
0.5025125628140703,0.9825717423482787,0.8581980756147342
0.507537688442211,0.9816645179773671,0.8586020720852181
0.5125628140703518,0.9801843097932483,0.8593141075604053
0.5175879396984925,0.9789428448646326,0.8599161057457809
0.5226130653266332,0.9776536312849162,0.8606593406593407
0.5276381909547738,0.9764121663563005,0.8614113159567705
0.5326633165829145,0.9747887122188799,0.8621601763409258
0.5376884422110553,0.9737382418946665,0.8628450939047713
0.542713567839196,0.972831017523755,0.86320801020909
0.5477386934673367,0.9715418039440386,0.8635179633361183
0.5527638190954774,0.9698706011555174,0.8642181961402127
0.5577889447236181,0.968581387575801,0.8646783337441459
0.5628140703517588,0.9675309172515877,0.8651729753738341
0.5678391959798995,0.9665759442295755,0.8655831645507089
0.5728643216080402,0.9655254739053621,0.8660798180109787
0.577889447236181,0.9645705008833501,0.8665907628335231
0.5829145728643216,0.9628992980948288,0.8673013983933353
0.5879396984924623,0.9617533304684143,0.8676397577201866
0.592964824120603,0.9607506087953015,0.8681477063764227
0.5979899497487438,0.9594613952155852,0.8688663282571912
0.6030150753768845,0.9586496681468748,0.8692533745081437
0.6080402010050251,0.9572172086138566,0.8698558387788696
0.6130653266331658,0.9558802463830397,0.8704730506019281
0.6180904522613065,0.9551162679654299,0.8708693695945608
0.6231155778894473,0.9539703003390154,0.8715150908453877
0.628140703517588,0.9525855894570978,0.8720802005012531
0.6331658291457286,0.9515351191328845,0.8724909674829385
0.6381909547738693,0.9502936542042687,0.8729273439855291
0.6432160804020101,0.9491476865778542,0.8733776033806218
0.6482412060301508,0.9478584729981379,0.8738602589290212
0.6532663316582915,0.9470944945805281,0.8742122510713386
0.6582914572864321,0.9461872702096166,0.8746467501009285
