class,ece
134,0.004616789110958131
154,0.004594091539151242
171,0.0033602056625711197
135,0.003359326769448191
015,0.0033589993168261093
139,0.0030667599739522358
068,0.003044963641265523
151,0.0029713689289084175
073,0.002951739823401414
144,0.0028908481223983967
200,0.002778759540081863
143,0.0026381058809434887
167,0.00263534511653161
028,0.002617055249103879
090,0.0025987728258163247
013,0.0025225733784129843
058,0.002519749359424983
019,0.0024908833440628964
096,0.0023824856792005783
179,0.0023572006708892593
011,0.0023377560990013035
098,0.0023339941619396213
153,0.0023226892608451135
158,0.0022871829382616927
145,0.0022232709908943074
067,0.002195740867775081
017,0.0021765432053364436
201,0.002152144911533761
199,0.0021052092225457204
152,0.0020491923282347575
075,0.002031116310729918
093,0.0020223393720304617
095,0.0019932817085986563
197,0.0019797582050566256
149,0.001930280637070862
159,0.0019177794598242036
161,0.0018672299264640307
022,0.0018390394527236552
016,0.0018307338686741669
082,0.0018238433887818625
162,0.001802772069740528
205,0.0018027083045548064
081,0.0017939789188392051
189,0.0017848492583684027
177,0.001724018196059126
053,0.0017159769718258825
117,0.0016988357366588417
062,0.0016950235251682179
084,0.0016800056304873859
061,0.001658379546683228
185,0.0016391937100515251
077,0.0015972753315917658
132,0.0015347858955582932
180,0.0015338004370743057
072,0.0015333254895706777
097,0.0015273901109051555
045,0.001512697937752328
001,0.0015073306506163038
080,0.0015000104242748114
066,0.0014767554893097851
165,0.0014692571959327467
020,0.0014646321795931479
204,0.0014552127340635211
114,0.0014405753137888223
116,0.0014355419065604632
125,0.001419675625278217
206,0.0014147968345433848
182,0.0014147509537085542
188,0.0013990631225578895
136,0.0013924890595796195
112,0.001381716699406732
025,0.001379702076015244
070,0.0013544378887393382
187,0.0013451812800935618
195,0.001344951136948863
032,0.0013396393229279124
140,0.0013110645730713153
064,0.001303232263415301
078,0.0012810702983268435
203,0.0012782613171100229
099,0.0012652129721954656
137,0.0012543228734191807
138,0.0012391556375392187
031,0.0012323453884992923
030,0.0012105356025547912
060,0.0012089143781733877
026,0.001197797337199183
038,0.0011947126563535797
142,0.001176312943443377
089,0.001126660428649942
052,0.0011105756994099387
012,0.0010998760200064733
