,precision,recall,f1-score,support
000,0.9166666666666666,0.9236641221374046,0.9201520912547528,131.0
001,0.7572815533980582,0.8210526315789474,0.7878787878787878,95.0
002,0.8518518518518519,0.8932038834951457,0.8720379146919431,103.0
003,0.8367346938775511,0.803921568627451,0.8200000000000001,51.0
004,0.85,0.5151515151515151,0.6415094339622641,33.0
005,0.9328358208955224,0.9541984732824428,0.9433962264150944,131.0
006,0.8897058823529411,0.9236641221374046,0.9063670411985019,131.0
007,0.9111111111111111,0.7454545454545455,0.8200000000000001,55.0
008,0.8113207547169812,0.7818181818181819,0.7962962962962964,55.0
009,0.94,0.986013986013986,0.962457337883959,143.0
010,0.9621212121212122,0.9694656488549618,0.9657794676806084,131.0
011,0.7333333333333333,0.7557251908396947,0.7443609022556391,131.0
012,0.8602150537634409,0.8421052631578947,0.8510638297872339,95.0
013,0.7322834645669292,0.7099236641221374,0.7209302325581396,131.0
014,1.0,0.8840579710144928,0.9384615384615386,69.0
015,0.6641221374045801,0.6641221374045801,0.6641221374045801,131.0
016,0.8074074074074075,0.8320610687022901,0.8195488721804511,131.0
017,0.7851851851851852,0.8091603053435115,0.7969924812030075,131.0
018,0.9741935483870968,0.9741935483870968,0.9741935483870968,155.0
019,0.6831683168316832,0.6764705882352942,0.6798029556650248,102.0
020,0.8991596638655462,0.816793893129771,0.856,131.0
021,0.8148148148148148,0.8918918918918919,0.8516129032258065,74.0
022,0.832,0.7938931297709924,0.8125,131.0
023,0.9133858267716536,0.8854961832061069,0.8992248062015504,131.0
024,0.8695652173913043,0.8571428571428571,0.8633093525179856,70.0
025,0.7419354838709677,0.5,0.5974025974025974,46.0
026,0.8759124087591241,0.916030534351145,0.8955223880597015,131.0
027,0.8548387096774194,0.8412698412698413,0.848,63.0
028,0.7480314960629921,0.7251908396946565,0.7364341085271318,131.0
029,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0
030,0.9029126213592233,0.8017241379310345,0.8493150684931507,116.0
031,0.89,0.8476190476190476,0.8682926829268293,105.0
032,0.896,0.8549618320610687,0.875,131.0
033,0.9534883720930233,0.9389312977099237,0.9461538461538462,131.0
034,0.9292035398230089,0.9905660377358491,0.9589041095890412,106.0
035,0.9765625,0.9689922480620154,0.9727626459143969,129.0
036,0.9215686274509803,0.9215686274509803,0.9215686274509803,102.0
037,0.9142857142857143,0.8495575221238938,0.8807339449541284,113.0
038,0.8561151079136691,0.9083969465648855,0.8814814814814815,131.0
039,0.9782608695652174,0.9782608695652174,0.9782608695652174,46.0
040,0.9285714285714286,0.9285714285714286,0.9285714285714286,56.0
041,1.0,0.92,0.9583333333333334,125.0
042,0.8333333333333334,0.8620689655172413,0.847457627118644,29.0
043,0.916030534351145,0.916030534351145,0.916030534351145,131.0
044,0.8833333333333333,0.8833333333333333,0.8833333333333333,60.0
