[CMD] python /food_data/xiaorong/R_KDAT/main.py --seed 42 --out-dir ablation_runs_seed42_serverB/mbc_er/seed_42 --resume-ckpt  --train-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/train600x600 --val-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/val600x600 --batch-size 128 --num-workers 8 --pk-p 32 --pk-k 4 --amp-dtype fp16 --no-kd --arcface --triplet --no-strong-aug --no-channels-last --no-fused-adamw

CONFIG OK.
SEED = 42
OUT_DIR = ablation_runs_seed42_serverB/mbc_er/seed_42
CWD = /food_data/xiaorong
PYTHONPATH head = ['/food_data/xiaorong/R_KDAT', '/opt/conda/lib/python38.zip', '/opt/conda/lib/python3.8']
CONFIG keys = ['train_dir', 'val_dir', 'class_file', 'num_classes', 'img_size']
CUDA: True  GPUs=2  Name=NVIDIA GeForce RTX 4090
[KD] disabled.
[A100] amp_dtype=fp16  GradScaler=on
[TB] logdir: ablation_runs_seed42_serverB/mbc_er/seed_42/runs/20260617-091842

Train E001:   0% 0/1335 [00:00<?, ?it/s]
Train E001:   1% 15/1335 [00:16<11:02,  1.99it/s, loss=14.7704, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 16/1335 [00:16<10:45,  2.04it/s, loss=14.7704, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 16/1335 [00:17<10:45,  2.04it/s, loss=14.7471, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 17/1335 [00:17<10:32,  2.08it/s, loss=14.7471, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 17/1335 [00:17<10:32,  2.08it/s, loss=14.7278, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 18/1335 [00:17<10:23,  2.11it/s, loss=14.7278, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 18/1335 [00:18<10:23,  2.11it/s, loss=14.7000, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 19/1335 [00:18<10:17,  2.13it/s, loss=14.7000, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 19/1335 [00:18<10:17,  2.13it/s, loss=14.6857, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 20/1335 [00:18<10:13,  2.14it/s, loss=14.6857, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   1% 20/1335 [00:19<10:13,  2.14it/s, loss=14.6713, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 21/1335 [00:19<10:10,  2.15it/s, loss=14.6713, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 21/1335 [00:19<10:10,  2.15it/s, loss=14.6543, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 22/1335 [00:19<10:07,  2.16it/s, loss=14.6543, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 22/1335 [00:20<10:07,  2.16it/s, loss=14.6373, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 23/1335 [00:20<10:07,  2.16it/s, loss=14.6373, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 23/1335 [00:20<10:07,  2.16it/s, loss=14.5979, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 24/1335 [00:20<10:05,  2.17it/s, loss=14.5979, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 24/1335 [00:21<10:05,  2.17it/s, loss=14.5703, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 25/1335 [00:21<10:04,  2.17it/s, loss=14.5703, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 25/1335 [00:21<10:04,  2.17it/s, loss=14.5475, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 26/1335 [00:21<10:03,  2.17it/s, loss=14.5475, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 26/1335 [00:21<10:03,  2.17it/s, loss=14.5080, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 27/1335 [00:21<10:02,  2.17it/s, loss=14.5080, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 27/1335 [00:22<10:02,  2.17it/s, loss=14.4920, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 28/1335 [00:22<10:01,  2.17it/s, loss=14.4920, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 28/1335 [00:22<10:01,  2.17it/s, loss=14.4745, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 29/1335 [00:22<10:00,  2.18it/s, loss=14.4745, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 29/1335 [00:23<10:00,  2.18it/s, loss=14.4589, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 30/1335 [00:23<10:00,  2.17it/s, loss=14.4589, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 30/1335 [00:23<10:00,  2.17it/s, loss=14.4460, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 31/1335 [00:23<09:59,  2.17it/s, loss=14.4460, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 31/1335 [00:24<09:59,  2.17it/s, loss=14.4412, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 32/1335 [00:24<09:59,  2.17it/s, loss=14.4412, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 32/1335 [00:24<09:59,  2.17it/s, loss=14.4253, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 33/1335 [00:24<09:59,  2.17it/s, loss=14.4253, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   2% 33/1335 [00:25<09:59,  2.17it/s, loss=14.4035, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 34/1335 [00:25<09:58,  2.17it/s, loss=14.4035, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 34/1335 [00:25<09:58,  2.17it/s, loss=14.3869, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 35/1335 [00:25<09:59,  2.17it/s, loss=14.3869, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 35/1335 [00:26<09:59,  2.17it/s, loss=14.3555, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 36/1335 [00:26<09:58,  2.17it/s, loss=14.3555, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 36/1335 [00:26<09:58,  2.17it/s, loss=14.3331, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 37/1335 [00:26<09:57,  2.17it/s, loss=14.3331, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 37/1335 [00:27<09:57,  2.17it/s, loss=14.3151, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 38/1335 [00:27<09:56,  2.17it/s, loss=14.3151, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 38/1335 [00:27<09:56,  2.17it/s, loss=14.2863, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 39/1335 [00:27<09:56,  2.17it/s, loss=14.2863, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 39/1335 [00:27<09:56,  2.17it/s, loss=14.2753, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 40/1335 [00:27<09:56,  2.17it/s, loss=14.2753, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 40/1335 [00:28<09:56,  2.17it/s, loss=14.2419, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 41/1335 [00:28<09:56,  2.17it/s, loss=14.2419, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 41/1335 [00:28<09:56,  2.17it/s, loss=14.2078, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 42/1335 [00:28<09:55,  2.17it/s, loss=14.2078, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 42/1335 [00:29<09:55,  2.17it/s, loss=14.1844, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 43/1335 [00:29<09:54,  2.17it/s, loss=14.1844, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 43/1335 [00:29<09:54,  2.17it/s, loss=14.1585, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 44/1335 [00:29<09:53,  2.17it/s, loss=14.1585, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 44/1335 [00:30<09:53,  2.17it/s, loss=14.1371, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 45/1335 [00:30<09:53,  2.17it/s, loss=14.1371, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 45/1335 [00:30<09:53,  2.17it/s, loss=14.1087, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 46/1335 [00:30<09:54,  2.17it/s, loss=14.1087, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   3% 46/1335 [00:31<09:54,  2.17it/s, loss=14.0888, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 47/1335 [00:31<09:53,  2.17it/s, loss=14.0888, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 47/1335 [00:31<09:53,  2.17it/s, loss=14.0625, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 48/1335 [00:31<09:52,  2.17it/s, loss=14.0625, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 48/1335 [00:32<09:52,  2.17it/s, loss=14.0417, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 49/1335 [00:32<09:52,  2.17it/s, loss=14.0417, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 49/1335 [00:32<09:52,  2.17it/s, loss=14.0260, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 50/1335 [00:32<09:52,  2.17it/s, loss=14.0260, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 50/1335 [00:33<09:52,  2.17it/s, loss=14.0045, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 51/1335 [00:33<09:52,  2.17it/s, loss=14.0045, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 51/1335 [00:33<09:52,  2.17it/s, loss=13.9847, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 52/1335 [00:33<10:12,  2.09it/s, loss=13.9847, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 52/1335 [00:34<10:12,  2.09it/s, loss=13.9622, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 53/1335 [00:34<10:08,  2.11it/s, loss=13.9622, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 53/1335 [00:34<10:08,  2.11it/s, loss=13.9412, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 54/1335 [00:34<10:01,  2.13it/s, loss=13.9412, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 54/1335 [00:34<10:01,  2.13it/s, loss=13.9254, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 55/1335 [00:34<09:57,  2.14it/s, loss=13.9254, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 55/1335 [00:35<09:57,  2.14it/s, loss=13.9061, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 56/1335 [00:35<09:54,  2.15it/s, loss=13.9061, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 56/1335 [00:35<09:54,  2.15it/s, loss=13.8809, top1=0.01%, top5=0.03%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 57/1335 [00:35<09:52,  2.16it/s, loss=13.8809, top1=0.01%, top5=0.03%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 57/1335 [00:36<09:52,  2.16it/s, loss=13.8622, top1=0.01%, top5=0.03%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 58/1335 [00:36<09:51,  2.16it/s, loss=13.8622, top1=0.01%, top5=0.03%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 58/1335 [00:36<09:51,  2.16it/s, loss=13.8404, top1=0.01%, top5=0.03%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 59/1335 [00:36<09:49,  2.16it/s, loss=13.8404, top1=0.01%, top5=0.03%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
Train E001:   4% 59/1335 [00:37<09:49,  2.16it/s, loss=13.8195, top1=0.01%, top5=0.03%, aug=none, lr=1.00e-04, KD=off, Arc=on, Trip=on]
