[CMD] python /food_data/xiaorong/R_KDAT/main.py --seed 42 --out-dir ablation_runs_seed42_serverA/kd_er/seed_42 --resume-ckpt  --train-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/train600x600 --val-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/val600x600 --batch-size 128 --num-workers 8 --pk-p 32 --pk-k 4 --amp-dtype fp16 --teacher-ckpt /food_data/RegNetY-32GF/exp_regnety32/best.pt --kd-use --no-arcface --triplet --no-strong-aug --no-channels-last --no-fused-adamw

CONFIG OK.
SEED = 42
OUT_DIR = ablation_runs_seed42_serverA/kd_er/seed_42
CWD = /food_data/xiaorong
PYTHONPATH head = ['/food_data/xiaorong/R_KDAT', '/opt/conda/lib/python38.zip', '/opt/conda/lib/python3.8']
CONFIG keys = ['train_dir', 'val_dir', 'class_file', 'num_classes', 'img_size']
CUDA: True  GPUs=2  Name=NVIDIA GeForce RTX 4090
[KD] Loading teacher from: /food_data/RegNetY-32GF/exp_regnety32/best.pt
[KD] remap keys: backbone.fc.* → head.*
[KD] teacher ready (eval, frozen).
[A100] amp_dtype=fp16  GradScaler=on
[TB] logdir: ablation_runs_seed42_serverA/kd_er/seed_42/runs/20260617-195405

Train E001:   0% 0/1335 [00:00<?, ?it/s]
Train E001:   1% 14/1335 [00:22<16:45,  1.31it/s, loss=2.6539, top1=2.08%, top5=6.41%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   1% 15/1335 [00:22<16:22,  1.34it/s, loss=2.6539, top1=2.08%, top5=6.41%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   1% 15/1335 [00:23<16:22,  1.34it/s, loss=2.6474, top1=2.25%, top5=6.59%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   1% 16/1335 [00:23<16:06,  1.37it/s, loss=2.6474, top1=2.25%, top5=6.59%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   1% 16/1335 [00:24<16:06,  1.37it/s, loss=2.6395, top1=2.48%, top5=7.08%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   1% 17/1335 [00:24<15:57,  1.38it/s, loss=2.6395, top1=2.48%, top5=7.08%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   1% 17/1335 [00:24<15:57,  1.38it/s, loss=2.6351, top1=2.56%, top5=7.25%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   1% 18/1335 [00:24<15:48,  1.39it/s, loss=2.6351, top1=2.56%, top5=7.25%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   1% 18/1335 [00:25<15:48,  1.39it/s, loss=2.6278, top1=3.00%, top5=7.98%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   1% 19/1335 [00:25<15:42,  1.40it/s, loss=2.6278, top1=3.00%, top5=7.98%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   1% 19/1335 [00:26<15:42,  1.40it/s, loss=2.6239, top1=3.12%, top5=8.16%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   1% 20/1335 [00:26<15:38,  1.40it/s, loss=2.6239, top1=3.12%, top5=8.16%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   1% 20/1335 [00:27<15:38,  1.40it/s, loss=2.6187, top1=3.35%, top5=8.56%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
