[CMD] python /food_data/xiaorong/R_KDAT/main.py --seed 42 --out-dir ablation_runs_seed42_serverA/kd_mbc/seed_42 --resume-ckpt  --train-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/train600x600 --val-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/val600x600 --batch-size 128 --num-workers 8 --pk-p 32 --pk-k 4 --amp-dtype fp16 --teacher-ckpt /food_data/RegNetY-32GF/exp_regnety32/best.pt --kd-use --arcface --no-triplet --no-strong-aug --no-channels-last --no-fused-adamw

CONFIG OK.
SEED = 42
OUT_DIR = ablation_runs_seed42_serverA/kd_mbc/seed_42
CWD = /food_data/xiaorong
PYTHONPATH head = ['/food_data/xiaorong/R_KDAT', '/opt/conda/lib/python38.zip', '/opt/conda/lib/python3.8']
CONFIG keys = ['train_dir', 'val_dir', 'class_file', 'num_classes', 'img_size']
CUDA: True  GPUs=2  Name=NVIDIA GeForce RTX 4090
[KD] Loading teacher from: /food_data/RegNetY-32GF/exp_regnety32/best.pt
[KD] remap keys: backbone.fc.* → head.*
[KD] teacher ready (eval, frozen).
[A100] amp_dtype=fp16  GradScaler=on
[TB] logdir: ablation_runs_seed42_serverA/kd_mbc/seed_42/runs/20260617-091718

Train E001:   0% 0/1335 [00:00<?, ?it/s]
Train E001:   1% 14/1335 [00:22<16:47,  1.31it/s, loss=6.8561, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 15/1335 [00:22<16:24,  1.34it/s, loss=6.8561, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 15/1335 [00:23<16:24,  1.34it/s, loss=6.8450, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 16/1335 [00:23<16:08,  1.36it/s, loss=6.8450, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 16/1335 [00:23<16:08,  1.36it/s, loss=6.8330, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 17/1335 [00:23<15:57,  1.38it/s, loss=6.8330, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 17/1335 [00:24<15:57,  1.38it/s, loss=6.8262, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 18/1335 [00:24<15:48,  1.39it/s, loss=6.8262, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 18/1335 [00:25<15:48,  1.39it/s, loss=6.8136, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 19/1335 [00:25<15:43,  1.40it/s, loss=6.8136, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 19/1335 [00:26<15:43,  1.40it/s, loss=6.8059, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 20/1335 [00:26<15:47,  1.39it/s, loss=6.8059, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   1% 20/1335 [00:26<15:47,  1.39it/s, loss=6.7967, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 21/1335 [00:26<15:45,  1.39it/s, loss=6.7967, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 21/1335 [00:27<15:45,  1.39it/s, loss=6.7874, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 22/1335 [00:27<15:39,  1.40it/s, loss=6.7874, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 22/1335 [00:28<15:39,  1.40it/s, loss=6.7775, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 23/1335 [00:28<15:37,  1.40it/s, loss=6.7775, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 23/1335 [00:28<15:37,  1.40it/s, loss=6.7590, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 24/1335 [00:28<15:36,  1.40it/s, loss=6.7590, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 24/1335 [00:29<15:36,  1.40it/s, loss=6.7482, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 25/1335 [00:29<15:33,  1.40it/s, loss=6.7482, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 25/1335 [00:30<15:33,  1.40it/s, loss=6.7392, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 26/1335 [00:30<15:32,  1.40it/s, loss=6.7392, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 26/1335 [00:31<15:32,  1.40it/s, loss=6.7224, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 27/1335 [00:31<15:30,  1.41it/s, loss=6.7224, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 27/1335 [00:31<15:30,  1.41it/s, loss=6.7146, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 28/1335 [00:31<15:29,  1.41it/s, loss=6.7146, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 28/1335 [00:32<15:29,  1.41it/s, loss=6.7049, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 29/1335 [00:32<15:26,  1.41it/s, loss=6.7049, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 29/1335 [00:33<15:26,  1.41it/s, loss=6.6998, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 30/1335 [00:33<15:27,  1.41it/s, loss=6.6998, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 30/1335 [00:33<15:27,  1.41it/s, loss=6.6944, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 31/1335 [00:33<15:25,  1.41it/s, loss=6.6944, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 31/1335 [00:34<15:25,  1.41it/s, loss=6.6923, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 32/1335 [00:34<15:24,  1.41it/s, loss=6.6923, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 32/1335 [00:35<15:24,  1.41it/s, loss=6.6846, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 33/1335 [00:35<15:45,  1.38it/s, loss=6.6846, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   2% 33/1335 [00:36<15:45,  1.38it/s, loss=6.6734, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 34/1335 [00:36<15:37,  1.39it/s, loss=6.6734, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 34/1335 [00:36<15:37,  1.39it/s, loss=6.6650, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 35/1335 [00:36<15:31,  1.39it/s, loss=6.6650, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 35/1335 [00:37<15:31,  1.39it/s, loss=6.6511, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 36/1335 [00:37<15:28,  1.40it/s, loss=6.6511, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 36/1335 [00:38<15:28,  1.40it/s, loss=6.6408, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
Train E001:   3% 37/1335 [00:38<15:24,  1.40it/s, loss=6.6408, top1=0.00%, top5=0.00%, aug=none, lr=1.00e-04, KD=on, Arc=on, Trip=off]
